event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,iso,region,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,adm2_code,adm2_name,data_as_of,run_date
MEX108000,2025-08-31,2025,Political violence,Violence against civilians,Attack,484,North America,Mexico,Chihuahua,Guachochi,Guachochi,26.8192,-107.0694,La Jornada,"Around 31 August 2025 (as reported) , in Guachochi, Chihuahua, a boy was killed, and his body was found on 31 August. The boy was reported as disappeared on 30 April, and their relatives claimed that he had been forcibly recruited by Los Mayitos gang. Two days after conducting surveillance activities for the gang in the municipality of Aldama, he was abducted by a rival criminal group. 1 fatality. 1 fatality.",0,MX08027,Guachochi,2025-11-27,2025-11-27
MEX108908,2025-08-29,2025,Political violence,Violence against civilians,Attack,484,North America,Mexico,Sinaloa,Navolato,La Bandera,24.7006,-107.8646,Colima Noticias; El Proceso; El Sol de Sinaloa; La Jornada; Noroeste; Riodoce,"Around 29 August 2025 (between 29 - 30 August), near La Bandera, Sinaloa, a man was killed and his body was found with signs of torture and gunshot wounds next to Navolato-Altata road. The victim was a Civil Protection officer who was abducted in colonia 5 de Febrero on 29 August 2025 and his body was found on 30 August 2025. 1 fatality.",1,MX25018,Navolato,2025-11-27,2025-11-27
MEX108924,2025-08-29,2025,Political violence,Battles,Armed clash,484,North America,Mexico,Michoacán,Morelia,Morelia,19.7034,-101.192,La Voz de Michoacan; MiMorelia,"On 29 August 2025, in Morelia, Michoacan de Ocampo, unidentified individuals shot at officers of the municipal and state police, the military force, the National Guard and the State Attorney General's Office who were conducting a search operation against a criminal group on Samaria street, in colonia Torreon Nuevo. The officers shot back, arrested three individuals and seized firearms, tactical equipment, and a canvas with message from an armed group. There were no casualties.",0,MX16053,Morelia,2025-11-27,2025-11-27
MEX108925,2025-08-29,2025,Political violence,Battles,Armed clash,484,North America,Mexico,Sinaloa,Culiacan,El Tepuche,24.9427,-107.3496,El Sol de Sinaloa; Noroeste,"On 29 August 2025, in El Tepuche, Sinaloa, members of Los Mayitos and Los Chapitos gangs clashed on the paths that lead to Tecolotes and Caminaguato. Several people were injured, including at least four people who were injured with stray bullets. Some of the injured were transferred to hospitals in Culiacan, where they were victims of attacks on 29 and 30 August 2025 (coded separately). Several injured.",0,MX25006,Culiacán,2025-11-27,2025-11-27
MEX108993,2025-08-29,2025,Political violence,Violence against civilians,Attack,484,North America,Mexico,Guanajuato,Celaya,Celaya,20.5215,-100.814,Milenio,"On 29 August 2025, in Celaya, Guanajuato, armed individuals in a vehicle shot and killed a woman while driving, the perpetrators intercepted her on Avenida El Sauz (drive-by). The victim was a transit municipal police officer who had just finished her work (off-duty). 1 fatality.",1,MX11007,Celaya,2025-11-27,2025-11-27
MEX108994,2025-08-29,2025,Political violence,Violence against civilians,Attack,484,North America,Mexico,Guanajuato,Irapuato,Irapuato,20.6728,-101.3481,Milenio; Zona Franca,"On 29 August 2025, in Irapuato, Guanajuato, two armed men shot and killed a woman in a vehicle in Colonia Laboratorio CFE. The victim had background records for drugs consumption. 1 fatality.",1,MX11017,Irapuato,2025-11-27,2025-11-27
MEX108995,2025-08-29,2025,Political violence,Violence against civilians,Attack,484,North America,Mexico,Guanajuato,Leon,Leon de los Aldama,21.122,-101.6832,Zona Franca,"On 29 August 2025, in Leon de los Aldama, Guanajuato, two armed men shot and killed a woman in her house in colonia Rivera de la Presa. According to neighbors, the house was a drug selling point. 1 fatality.",1,MX11020,León,2025-11-27,2025-11-27
MEX108996,2025-08-29,2025,Political violence,Violence against civilians,Attack,484,North America,Mexico,Guanajuato,Leon,Leon de los Aldama,21.122,-101.6832,Zona Franca,"On 29 August 2025, in Leon de los Aldama, Guanajuato, armed men on a motorcycle shot and killed a man and injured another one in colonia Valle Delta (drive-by). 1 fatality.",1,MX11020,León,2025-11-27,2025-11-27
MEX108997,2025-08-29,2025,Political violence,Violence against civilians,Attack,484,North America,Mexico,Guerrero,Zihuatanejo de Azueta,El Posquelite,17.6766,-101.565,La Jornada; La Voz de Michoacan; MiMorelia,"Around 29 August 2025 (as reported), in El Posquelite, Guerrero, a man was killed and his body was found inside his vehicle with his hands tied up and with gunshot wounds on the Lazaro Cardenas-Zihuatanejo road. The victim was the son of the President of the Business Coordinating Council (CCE) of Lazaro Cardenas. 1 fatality.",1,MX12038,Zihuatanejo de Azueta,2025-11-27,2025-11-27
MEX108998,2025-08-29,2025,Political violence,Violence against civilians,Attack,484,North America,Mexico,Hidalgo,Tula de Allende,Tula de Allende,20.0552,-99.3432,La Jornada,"On 29 August 2025, in Tula de Allende, Hidalgo, armed individuals in a vehicle shot and killed two people (drive-by). It is suspected that the perpetrators were later arrested. 2 fatalities.",2,MX13076,Tula de Allende,2025-11-27,2025-11-27
