adm1_name,adm2_name,adm2_code,lon,lat
Aguascalientes,Aguascalientes,MX01001,-102.29577128596256,21.811535600554272
Aguascalientes,Asientos,MX01002,-102.04566041800516,22.126576424623032
Aguascalientes,Calvillo,MX01003,-102.70490051849428,21.90078846164612
Aguascalientes,Cosío,MX01004,-102.29704350975832,22.360641737183215
Aguascalientes,Jesús María,MX01005,-102.44562576922154,21.932155157447557
Aguascalientes,Pabellón de Arteaga,MX01006,-102.30167028779596,22.104554383485514
Aguascalientes,Rincón de Romos,MX01007,-102.34072967008161,22.26744552301532
Aguascalientes,San José de Gracia,MX01008,-102.52584340610669,22.146709732380334
Aguascalientes,Tepezalá,MX01009,-102.19212970339854,22.237000796298737
Aguascalientes,El Llano,MX01010,-102.03538673588879,21.92155596919574
Aguascalientes,San Francisco de los Romo,MX01011,-102.22901807413658,22.03308468441128
Baja California,Ensenada,MX02001,-114.96224180013009,30.06258565328707
Baja California,Mexicali,MX02002,-115.1710212933799,31.751589195638807
Baja California,Tecate,MX02003,-116.26899521539269,32.440959390079556
Baja California,Tijuana,MX02004,-116.81989933116031,32.40420745300234
Baja California,Playas de Rosarito,MX02005,-116.89078664911504,32.25304607173856
Baja California Sur,Comondú,MX03001,-111.80957425769996,25.536633061860282
Baja California Sur,Mulegé,MX03002,-113.22712239335166,27.289201642228996
Baja California Sur,La Paz,MX03003,-110.64253048562155,24.18662051248934
Baja California Sur,Los Cabos,MX03008,-109.7532001392833,23.277011101052274
Baja California Sur,Loreto,MX03009,-111.44914427231464,25.954610944400187
Campeche,Calkiní,MX04001,-90.2168822715632,20.382804490058227
Campeche,Campeche,MX04002,-90.26755632145658,19.617146619295212
Campeche,Carmen,MX04003,-91.45140739381532,18.499313179208066
Campeche,Champotón,MX04004,-90.4992174199679,19.134587690854985
Campeche,Hecelchakán,MX04005,-90.13543288980293,20.124493548027015
Campeche,Hopelchén,MX04006,-89.60986049859697,19.474908467198386
Campeche,Palizada,MX04007,-91.97386657114703,18.273321671040236
Campeche,Tenabo,MX04008,-90.23297795410105,19.96968264651474
Campeche,Escárcega,MX04009,-90.47431083473421,18.550906780586057
Campeche,Calakmul,MX04010,-89.66155936005234,18.403973217510842
Campeche,Candelaria,MX04011,-90.71673979837891,18.09939024276957
Coahuila de Zaragoza,Abasolo,MX05001,-101.24581326302105,27.12243961026109
Coahuila de Zaragoza,Acuña,MX05002,-102.0101149530165,29.433046058963217
Coahuila de Zaragoza,Allende,MX05003,-100.91598244747064,28.27838851321601
Coahuila de Zaragoza,Arteaga,MX05004,-100.64240313242746,25.34145294579348
Coahuila de Zaragoza,Candela,MX05005,-100.79920390494405,26.852685325179472
Coahuila de Zaragoza,Castaños,MX05006,-101.38702777713797,26.586553657483158
Coahuila de Zaragoza,Cuatro Ciénegas,MX05007,-102.29922065719127,26.699998072169016
Coahuila de Zaragoza,Escobedo,MX05008,-101.27968385748348,27.306208028906465
Coahuila de Zaragoza,Francisco I. Madero,MX05009,-103.18079978188769,26.320964862527852
Coahuila de Zaragoza,Frontera,MX05010,-101.52824604030302,26.947752596187097
Coahuila de Zaragoza,General Cepeda,MX05011,-101.55109917499539,25.522018814561584
Coahuila de Zaragoza,Guerrero,MX05012,-100.39383829101729,28.097842665326066
Coahuila de Zaragoza,Hidalgo,MX05013,-100.05057958506298,27.839403001281696
Coahuila de Zaragoza,Jiménez,MX05014,-100.95131025207581,29.002908119146582
Coahuila de Zaragoza,Juárez,MX05015,-100.69341338283854,27.656719010495014
Coahuila de Zaragoza,Lamadrid,MX05016,-101.91373525722571,27.150608244822696
Coahuila de Zaragoza,Matamoros,MX05017,-103.2150700274997,25.559935385191437
Coahuila de Zaragoza,Monclova,MX05018,-101.19441202878195,26.896928716149247
Coahuila de Zaragoza,Morelos,MX05019,-101.08330845264949,28.327787601391094
Coahuila de Zaragoza,Múzquiz,MX05020,-101.9012839963828,28.404824279349725
Coahuila de Zaragoza,Nadadores,MX05021,-101.76555342570094,27.228032623626742
Coahuila de Zaragoza,Nava,MX05022,-100.6204707063515,28.49651814499605
Coahuila de Zaragoza,Ocampo,MX05023,-102.89319070816744,27.97027541431601
Coahuila de Zaragoza,Parras,MX05024,-102.11485942397256,25.505234702347796
Coahuila de Zaragoza,Piedras Negras,MX05025,-100.61453634203733,28.77992515341177
Coahuila de Zaragoza,Progreso,MX05026,-101.02166337282232,27.42168234485044
Coahuila de Zaragoza,Ramos Arizpe,MX05027,-101.282359856446,25.91436164273043
Coahuila de Zaragoza,Sabinas,MX05028,-101.14303134835319,27.92330081421383
Coahuila de Zaragoza,Sacramento,MX05029,-101.75649816375564,26.939862930528104
Coahuila de Zaragoza,Saltillo,MX05030,-101.12515477079441,25.029831852417374
Coahuila de Zaragoza,San Buenaventura,MX05031,-101.96979652933494,27.84237257718854
Coahuila de Zaragoza,San Juan de Sabinas,MX05032,-101.38981419817638,28.064075705102066
Coahuila de Zaragoza,San Pedro,MX05033,-102.71787228647028,26.084781157597845
Coahuila de Zaragoza,Sierra Mojada,MX05034,-103.61044483772635,27.485599185906466
Coahuila de Zaragoza,Torreón,MX05035,-103.24913362558462,25.170795233505217
Coahuila de Zaragoza,Viesca,MX05036,-102.9250518568126,25.22230528270633
Coahuila de Zaragoza,Villa Unión,MX05037,-100.78030067982486,28.09764068242231
Coahuila de Zaragoza,Zaragoza,MX05038,-101.39536750207148,28.81279567199963
Colima,Armería,MX06001,-103.99848502878461,19.009439899533206
Colima,Colima,MX06002,-103.63269101972146,19.11617031570514
Colima,Comala,MX06003,-103.76998567196387,19.393466073688515
Colima,Coquimatlán,MX06004,-103.92076313348461,19.188155972214027
Colima,Cuauhtémoc,MX06005,-103.59550288916105,19.326886002824963
Colima,Ixtlahuacán,MX06006,-103.68135106090386,18.96764385365502
Colima,Manzanillo,MX06007,-104.2958654305197,19.149539391164268
Colima,Minatitlán,MX06008,-104.03104415828182,19.372118892020058
Colima,Tecomán,MX06009,-104.9262968983507,18.867408511241237
Colima,Villa de Álvarez,MX06010,-103.84442851196127,19.309617046506222
Chiapas,Acacoyagua,MX07001,-92.68168153381067,15.414154403722499
Chiapas,Acala,MX07002,-92.8409066539355,16.5377886268729
Chiapas,Acapetahua,MX07003,-92.77232676918828,15.233773280331668
Chiapas,Altamirano,MX07004,-91.86260812955598,16.66193086020428
Chiapas,Amatán,MX07005,-92.85734448375649,17.385621517216713
Chiapas,Amatenango de la Frontera,MX07006,-92.09750918600604,15.557107555273218
Chiapas,Amatenango del Valle,MX07007,-92.39542739282902,16.515298007376153
Chiapas,Angel Albino Corzo,MX07008,-92.68045625224482,15.758186553650644
Chiapas,Arriaga,MX07009,-93.9374342936653,16.248862693672482
Chiapas,Bejucal de Ocampo,MX07010,-92.16129247057304,15.491759875461247
Chiapas,Bella Vista,MX07011,-92.24241693802472,15.619593608052215
Chiapas,Berriozábal,MX07012,-93.31910194737677,16.86678794271962
Chiapas,Bochil,MX07013,-92.95879995588137,17.01414518218602
Chiapas,El Bosque,MX07014,-92.74128949913853,17.03175666212286
Chiapas,Cacahoatán,MX07015,-92.1642633044941,15.086384349091075
Chiapas,Catazajá,MX07016,-91.99758786326748,17.77991820429903
Chiapas,Cintalapa,MX07017,-93.86745494058502,16.713063496148006
Chiapas,Coapilla,MX07018,-93.12608210669741,17.120584809542592
Chiapas,Comitán de Domínguez,MX07019,-92.17899792648012,16.297009058412666
Chiapas,La Concordia,MX07020,-92.77120522437826,15.961016011874067
Chiapas,Copainalá,MX07021,-93.25216046563277,17.094867441788555
Chiapas,Chalchihuitán,MX07022,-92.61180015810316,17.021281830008167
Chiapas,Chamula,MX07023,-92.68017344198635,16.819374708309716
Chiapas,Chanal,MX07024,-92.21696447001365,16.611556582970884
Chiapas,Chapultenango,MX07025,-93.13153874034093,17.32680649598448
Chiapas,Chenalhó,MX07026,-92.57043057719879,16.950172097525634
Chiapas,Chiapa de Corzo,MX07027,-92.9706532152545,16.598255280207855
Chiapas,Chiapilla,MX07028,-92.72594356867896,16.55397549453118
Chiapas,Chicoasén,MX07029,-93.11152051593282,16.995339009317686
Chiapas,Chicomuselo,MX07030,-92.39128584476522,15.7990694672489
Chiapas,Chilón,MX07031,-92.03511981708746,17.109735824828316
Chiapas,Escuintla,MX07032,-92.55816159475323,15.364458075355376
Chiapas,Francisco León,MX07033,-93.27618892253533,17.294082609101768
Chiapas,Frontera Comalapa,MX07034,-92.08801358143215,15.762817525343118
Chiapas,Frontera Hidalgo,MX07035,-92.21329430155684,14.749995949308506
Chiapas,La Grandeza,MX07036,-92.21840105208453,15.513002354264854
Chiapas,Huehuetán,MX07037,-92.42376997858872,15.009413607787202
Chiapas,Huixtán,MX07038,-92.39963903590147,16.694290465122307
Chiapas,Huitiupán,MX07039,-92.69493242789932,17.243185362414994
Chiapas,Huixtla,MX07040,-92.54678149853399,15.097072259165852
Chiapas,La Independencia,MX07041,-91.79580687918082,16.204711816522256
Chiapas,Ixhuatán,MX07042,-92.97862931221677,17.298535798055255
Chiapas,Ixtacomitán,MX07043,-93.09902072310443,17.421407350823635
Chiapas,Ixtapa,MX07044,-92.8969928982521,16.817969414507065
Chiapas,Ixtapangajoya,MX07045,-92.97559534989784,17.466886082781755
Chiapas,Jiquipilas,MX07046,-93.67203489353952,16.522865117214543
Chiapas,Jitotol,MX07047,-92.87441858640977,17.089627448132898
Chiapas,Juárez,MX07048,-93.19333057372587,17.699484068837457
Chiapas,Larráinzar,MX07049,-92.77668065904963,16.92439290594121
Chiapas,La Libertad,MX07050,-91.75108145899253,17.606663483251978
Chiapas,Mapastepec,MX07051,-92.8914151559616,15.461161045307746
Chiapas,Las Margaritas,MX07052,-91.74037318100851,16.38571710543714
Chiapas,Mazapa de Madero,MX07053,-92.18589705744895,15.373173413795787
Chiapas,Mazatán,MX07054,-92.49718273700257,14.880489115540376
Chiapas,Metapa,MX07055,-92.20165081618099,14.821641886255144
Chiapas,Mitontic,MX07056,-92.5631005620617,16.874811099667962
Chiapas,Motozintla,MX07057,-92.33147129839985,15.313854687189407
Chiapas,Nicolás Ruíz,MX07058,-92.61004928077658,16.4382034594848
Chiapas,Ocosingo,MX07059,-91.33829858411386,16.702401087833117
Chiapas,Ocotepec,MX07060,-93.17387579179436,17.220800438253587
Chiapas,Ocozocoautla de Espinosa,MX07061,-93.48668420987507,16.819940204586626
Chiapas,Ostuacán,MX07062,-93.39689112221002,17.433292304449143
Chiapas,Osumacinta,MX07063,-93.08380509816651,16.895240478174525
Chiapas,Oxchuc,MX07064,-92.27480108289076,16.781019405495442
Chiapas,Palenque,MX07065,-91.81291388249342,17.444382043780465
Chiapas,Pantelhó,MX07066,-92.46406611532038,17.060117355097773
Chiapas,Pantepec,MX07067,-93.05690233997821,17.189202487166288
Chiapas,Pichucalco,MX07068,-93.19861919231161,17.53039088996576
Chiapas,Pijijiapan,MX07069,-93.1917577731599,15.670128463255852
Chiapas,El Porvenir,MX07070,-92.263925722951,15.432548714202898
Chiapas,Villa Comaltitlán,MX07071,-92.61954849194969,15.165465477063764
Chiapas,Pueblo Nuevo Solistahuacán,MX07072,-92.88120981334467,17.217843424355618
Chiapas,Rayón,MX07073,-92.99657550142756,17.192225493018267
Chiapas,Reforma,MX07074,-93.2293821769824,17.864244008043833
Chiapas,Las Rosas,MX07075,-92.36472746175221,16.365323474984127
Chiapas,Sabanilla,MX07076,-92.61077446122218,17.31985953749118
Chiapas,Salto de Agua,MX07077,-92.18719998439855,17.437705725835688
Chiapas,San Cristóbal de las Casas,MX07078,-92.589953021709,16.678316527446018
Chiapas,San Fernando,MX07079,-93.20937812460862,16.912638177406272
Chiapas,Siltepec,MX07080,-92.45622552879942,15.54734390382121
Chiapas,Simojovel,MX07081,-92.62501474907675,17.138930839142464
Chiapas,Sitalá,MX07082,-92.34828963634922,17.037270040707256
Chiapas,Socoltenango,MX07083,-92.37595757872745,16.106490946192913
Chiapas,Solosuchiapa,MX07084,-93.00479320426537,17.38700606381688
Chiapas,Soyaló,MX07085,-92.98867783469314,16.925973675491868
Chiapas,Suchiapa,MX07086,-93.13633115247305,16.585562642823767
Chiapas,Suchiate,MX07087,-92.22709053313952,14.639659344724961
Chiapas,Sunuapa,MX07088,-93.2515882087837,17.488862027185256
Chiapas,Tapachula,MX07089,-92.30464033154698,14.934550451881226
Chiapas,Tapalapa,MX07090,-93.11231556164937,17.22012157651566
Chiapas,Tapilula,MX07091,-92.9972777537293,17.250970640412998
Chiapas,Tecpatán,MX07092,-93.51072198815615,17.208196748102345
Chiapas,Tenejapa,MX07093,-92.47200755467193,16.833203955933055
Chiapas,Teopisca,MX07094,-92.50881009956214,16.56111883020084
Chiapas,Tila,MX07096,-92.48583761297121,17.379271813452448
Chiapas,Tonalá,MX07097,-93.65385663779452,15.99088956631635
Chiapas,Totolapa,MX07098,-92.65996105645165,16.51516238139711
Chiapas,La Trinitaria,MX07099,-91.89937083306552,16.024593427474418
Chiapas,Tumbalá,MX07100,-92.26963239432001,17.300804417032243
Chiapas,Tuxtla Gutiérrez,MX07101,-93.1372833841447,16.739464034996534
Chiapas,Tuxtla Chico,MX07102,-92.19879440422456,14.894047109134354
Chiapas,Tuzantán,MX07103,-92.4115613920903,15.140457425913478
Chiapas,Tzimol,MX07104,-92.24643761373653,16.12412660519151
Chiapas,Unión Juárez,MX07105,-92.10426286553704,15.059728294655683
Chiapas,Venustiano Carranza,MX07106,-92.60789179385014,16.317369374439576
Chiapas,Villa Corzo,MX07107,-93.19755735373111,16.112282153463408
Chiapas,Villaflores,MX07108,-93.37515533356284,16.346204510689574
Chiapas,Yajalón,MX07109,-92.32584203469513,17.18556811713268
Chiapas,San Lucas,MX07110,-92.72378678585957,16.622476605969887
Chiapas,Zinacantán,MX07111,-92.78198094390065,16.72192378969601
Chiapas,San Juan Cancuc,MX07112,-92.3916680000065,16.93017304388047
Chiapas,Aldama,MX07113,-92.69017698560532,16.921834842484436
Chiapas,Benemérito de las Américas,MX07114,-90.56334516771398,16.28169900168383
Chiapas,Maravilla Tenejapa,MX07115,-91.24859546250747,16.199227796997672
Chiapas,Marqués de Comillas,MX07116,-90.74335744224038,16.24646584188984
Chiapas,Montecristo de Guerrero,MX07117,-92.66438555146264,15.671686606333319
Chiapas,San Andrés Duraznal,MX07118,-92.80308976303414,17.154018335546006
Chiapas,Santiago el Pinar,MX07119,-92.72154874805294,16.949365600110163
Chihuahua,Ahumada,MX08001,-106.38108460929756,30.451323517054924
Chihuahua,Aldama,MX08002,-105.58876668049966,29.074173836921652
Chihuahua,Allende,MX08003,-105.30544344285519,27.095397909197427
Chihuahua,Aquiles Serdán,MX08004,-105.82346639940987,28.58228039583903
Chihuahua,Ascensión,MX08005,-107.51978095571333,31.33312595210682
Chihuahua,Bachíniva,MX08006,-107.29165680324674,28.85813872740399
Chihuahua,Balleza,MX08007,-106.54304421797734,26.753746223493827
Chihuahua,Batopilas,MX08008,-107.69321327361266,26.945693628879326
Chihuahua,Bocoyna,MX08009,-107.58013436909134,27.80808198368238
Chihuahua,Buenaventura,MX08010,-107.1217182695035,30.060021404314874
Chihuahua,Camargo,MX08011,-104.42309898208971,28.035416326859984
Chihuahua,Carichí,MX08012,-107.06334729253047,27.81052481897602
Chihuahua,Casas Grandes,MX08013,-108.20218105205369,30.19458705168509
Chihuahua,Coronado,MX08014,-105.0699578651222,26.634064281338738
Chihuahua,Coyame del Sotol,MX08015,-105.20823547570406,29.75906579433147
Chihuahua,La Cruz,MX08016,-105.04484815701817,27.897713727312496
Chihuahua,Cuauhtémoc,MX08017,-106.94882254902458,28.724212708338186
Chihuahua,Cusihuiriachi,MX08018,-106.89694728513486,28.21171417090061
Chihuahua,Chihuahua,MX08019,-106.23286746763517,29.003684469139234
Chihuahua,Chínipas,MX08020,-108.51634796031686,27.456551846550656
Chihuahua,Delicias,MX08021,-105.49182454935472,28.11955871306865
Chihuahua,Dr. Belisario Domínguez,MX08022,-106.46115923463591,28.000162625990995
Chihuahua,Galeana,MX08023,-107.644614152983,30.16097062504533
Chihuahua,Santa Isabel,MX08024,-106.34956974234315,28.321278859084693
Chihuahua,Gómez Farías,MX08025,-107.73733947124364,29.33666456357845
Chihuahua,Gran Morelos,MX08026,-106.5694339121921,28.298840826670943
Chihuahua,Guachochi,MX08027,-107.2479741378606,27.15148184708771
Chihuahua,Guadalupe,MX08028,-105.6414462877044,30.82842761566528
Chihuahua,Guadalupe y Calvo,MX08029,-107.03422798302276,26.16882772135164
Chihuahua,Guazapares,MX08030,-108.27396561661796,27.391379866393294
Chihuahua,Guerrero,MX08031,-107.55802402856517,28.385610101848933
Chihuahua,Hidalgo del Parral,MX08032,-105.69702291049435,27.129233372622725
Chihuahua,Huejotitán,MX08033,-106.06793236735797,27.06943768094553
Chihuahua,Ignacio Zaragoza,MX08034,-107.72362893996053,29.72241386428578
Chihuahua,Janos,MX08035,-108.45025135527604,30.850445427310294
Chihuahua,Jiménez,MX08036,-104.39062231258124,27.083104736081374
Chihuahua,Juárez,MX08037,-106.56418637786568,31.450115312888403
Chihuahua,Julimes,MX08038,-105.05448496212574,28.54129097031364
Chihuahua,López,MX08039,-105.01107055361867,26.926424808430895
Chihuahua,Madera,MX08040,-108.32928011168329,29.328451117943292
Chihuahua,Maguarichi,MX08041,-107.97329724647881,27.83647905944457
Chihuahua,Manuel Benavides,MX08042,-103.82481320675073,28.929300740236986
Chihuahua,Matachí,MX08043,-107.72061527655846,28.824189182345858
Chihuahua,Matamoros,MX08044,-105.52292724005257,26.72516435016006
