country,adm1_name,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp,forecast_date,adm1_join,requested_month,lead,forecast_label
Mexico,Aguascalientes,November,2024,2,1,0,1,0,0,0,0,1734010293,2024-11-01,Aguascalientes,2024-11-01,NA,November 2024
Mexico,Baja California,November,2024,29,4,0,25,41,3,0,38,1734010293,2024-11-01,Baja California,2024-11-01,NA,November 2024
Mexico,Baja California Sur,November,2024,1,1,0,0,1,0,0,1,1734010293,2024-11-01,Baja California Sur,2024-11-01,NA,November 2024
Mexico,Campeche,November,2024,7,2,0,5,8,1,0,7,1734010293,2024-11-01,Campeche,2024-11-01,NA,November 2024
Mexico,Chiapas,November,2024,16,4,0,12,10,4,0,6,1734010293,2024-11-01,Chiapas,2024-11-01,NA,November 2024
Mexico,Chihuahua,November,2024,20,3,0,17,16,2,0,14,1734010293,2024-11-01,Chihuahua,2024-11-01,NA,November 2024
Mexico,Ciudad de Mexico,November,2024,19,6,0,13,20,5,0,15,1734010293,2024-11-01,Ciudad De Mexico,2024-11-01,NA,November 2024
Mexico,Coahuila de Zaragoza,November,2024,1,0,0,1,2,1,0,1,1734010293,2024-11-01,Coahuila,2024-11-01,NA,November 2024
Mexico,Colima,November,2024,19,1,0,18,22,0,0,22,1734010293,2024-11-01,Colima,2024-11-01,NA,November 2024
Mexico,Durango,November,2024,1,0,1,0,6,0,1,5,1734010293,2024-11-01,Durango,2024-11-01,NA,November 2024
Mexico,Guanajuato,November,2024,66,5,3,58,57,5,0,52,1734010293,2024-11-01,Guanajuato,2024-11-01,NA,November 2024
Mexico,Guerrero,November,2024,42,11,0,31,34,4,0,30,1734010293,2024-11-01,Guerrero,2024-11-01,NA,November 2024
Mexico,Hidalgo,November,2024,9,1,0,8,6,0,0,6,1734010293,2024-11-01,Hidalgo,2024-11-01,NA,November 2024
Mexico,Jalisco,November,2024,21,2,0,19,28,5,0,23,1734010293,2024-11-01,Jalisco,2024-11-01,NA,November 2024
Mexico,Mexico,November,2024,20,1,0,19,22,4,0,18,1734010293,2024-11-01,Mexico,2024-11-01,NA,November 2024
Mexico,Michoacan de Ocampo,November,2024,38,13,2,23,55,26,0,29,1734010293,2024-11-01,Michoacan,2024-11-01,NA,November 2024
Mexico,Morelos,November,2024,33,2,0,31,18,1,0,17,1734010294,2024-11-01,Morelos,2024-11-01,NA,November 2024
Mexico,Nayarit,November,2024,1,1,0,0,2,2,0,0,1734010294,2024-11-01,Nayarit,2024-11-01,NA,November 2024
Mexico,Nuevo Leon,November,2024,61,14,0,47,36,7,0,29,1734010294,2024-11-01,Nuevo Leon,2024-11-01,NA,November 2024
Mexico,Oaxaca,November,2024,14,1,0,13,14,1,0,13,1734010294,2024-11-01,Oaxaca,2024-11-01,NA,November 2024
Mexico,Puebla,November,2024,20,4,0,16,24,3,0,21,1734010294,2024-11-01,Puebla,2024-11-01,NA,November 2024
Mexico,Queretaro,November,2024,2,0,0,2,2,1,0,1,1734010294,2024-11-01,Queretaro,2024-11-01,NA,November 2024
Mexico,Quintana Roo,November,2024,4,0,0,4,3,0,0,3,1734010294,2024-11-01,Quintana Roo,2024-11-01,NA,November 2024
Mexico,San Luis Potosi,November,2024,9,1,0,8,5,1,0,4,1734010294,2024-11-01,San Luis Potosi,2024-11-01,NA,November 2024
Mexico,Sinaloa,November,2024,127,41,1,85,136,28,5,103,1734010294,2024-11-01,Sinaloa,2024-11-01,NA,November 2024
Mexico,Sonora,November,2024,17,8,0,9,8,4,0,4,1734010294,2024-11-01,Sonora,2024-11-01,NA,November 2024
Mexico,Tabasco,November,2024,33,5,0,28,15,4,0,11,1734010294,2024-11-01,Tabasco,2024-11-01,NA,November 2024
Mexico,Tamaulipas,November,2024,9,3,0,6,18,11,1,6,1734010294,2024-11-01,Tamaulipas,2024-11-01,NA,November 2024
Mexico,Tlaxcala,November,2024,2,0,0,2,0,0,0,0,1734010294,2024-11-01,Tlaxcala,2024-11-01,NA,November 2024
Mexico,Veracruz de Ignacio de la Llave,November,2024,24,5,0,19,25,2,0,23,1734010294,2024-11-01,Veracruz,2024-11-01,NA,November 2024
Mexico,Yucatan,November,2024,0,0,0,0,0,0,0,0,1734010294,2024-11-01,Yucatan,2024-11-01,NA,November 2024
Mexico,Zacatecas,November,2024,11,3,1,7,10,3,0,7,1734010294,2024-11-01,Zacatecas,2024-11-01,NA,November 2024
Mexico,Aguascalientes,December,2024,0,0,0,0,0,0,0,0,1737033355,2024-12-01,Aguascalientes,2024-12-01,NA,December 2024
Mexico,Baja California,December,2024,40,3,0,37,47,5,0,42,1737033355,2024-12-01,Baja California,2024-12-01,NA,December 2024
Mexico,Baja California Sur,December,2024,1,0,0,1,3,0,0,3,1737033355,2024-12-01,Baja California Sur,2024-12-01,NA,December 2024
Mexico,Campeche,December,2024,8,1,0,7,4,1,0,3,1737033355,2024-12-01,Campeche,2024-12-01,NA,December 2024
Mexico,Chiapas,December,2024,11,4,0,7,11,6,0,5,1737033355,2024-12-01,Chiapas,2024-12-01,NA,December 2024
Mexico,Chihuahua,December,2024,16,2,0,14,24,5,5,14,1737033355,2024-12-01,Chihuahua,2024-12-01,NA,December 2024
Mexico,Ciudad de Mexico,December,2024,20,5,0,15,10,1,0,9,1737033355,2024-12-01,Ciudad De Mexico,2024-12-01,NA,December 2024
Mexico,Coahuila de Zaragoza,December,2024,2,1,0,1,3,0,0,3,1737033355,2024-12-01,Coahuila,2024-12-01,NA,December 2024
Mexico,Colima,December,2024,21,0,0,21,14,1,0,13,1737033355,2024-12-01,Colima,2024-12-01,NA,December 2024
Mexico,Durango,December,2024,5,0,1,4,1,0,0,1,1737033356,2024-12-01,Durango,2024-12-01,NA,December 2024
Mexico,Guanajuato,December,2024,57,5,0,52,53,13,0,40,1737033356,2024-12-01,Guanajuato,2024-12-01,NA,December 2024
Mexico,Guerrero,December,2024,34,4,0,30,17,5,0,12,1737033356,2024-12-01,Guerrero,2024-12-01,NA,December 2024
Mexico,Hidalgo,December,2024,6,0,0,6,3,0,0,3,1737033356,2024-12-01,Hidalgo,2024-12-01,NA,December 2024
Mexico,Jalisco,December,2024,28,5,0,23,24,3,0,21,1737033356,2024-12-01,Jalisco,2024-12-01,NA,December 2024
Mexico,Mexico,December,2024,22,4,0,18,11,2,0,9,1737033356,2024-12-01,Mexico,2024-12-01,NA,December 2024
Mexico,Michoacan de Ocampo,December,2024,53,24,0,29,53,20,4,29,1737033356,2024-12-01,Michoacan,2024-12-01,NA,December 2024
Mexico,Morelos,December,2024,19,1,0,18,21,4,0,17,1737033356,2024-12-01,Morelos,2024-12-01,NA,December 2024
Mexico,Nayarit,December,2024,2,2,0,0,0,0,0,0,1737033356,2024-12-01,Nayarit,2024-12-01,NA,December 2024
Mexico,Nuevo Leon,December,2024,38,7,0,31,44,4,0,40,1737033356,2024-12-01,Nuevo Leon,2024-12-01,NA,December 2024
Mexico,Oaxaca,December,2024,14,1,0,13,3,1,0,2,1737033356,2024-12-01,Oaxaca,2024-12-01,NA,December 2024
Mexico,Puebla,December,2024,24,3,0,21,19,6,0,13,1737033356,2024-12-01,Puebla,2024-12-01,NA,December 2024
Mexico,Queretaro,December,2024,2,1,0,1,0,0,0,0,1737033356,2024-12-01,Queretaro,2024-12-01,NA,December 2024
Mexico,Quintana Roo,December,2024,3,0,0,3,6,1,0,5,1737033356,2024-12-01,Quintana Roo,2024-12-01,NA,December 2024
Mexico,San Luis Potosi,December,2024,5,1,0,4,5,2,0,3,1737033356,2024-12-01,San Luis Potosi,2024-12-01,NA,December 2024
Mexico,Sinaloa,December,2024,136,30,5,101,110,30,1,79,1737033356,2024-12-01,Sinaloa,2024-12-01,NA,December 2024
Mexico,Sonora,December,2024,9,4,0,5,22,4,1,17,1737033356,2024-12-01,Sonora,2024-12-01,NA,December 2024
Mexico,Tabasco,December,2024,18,4,0,14,8,2,0,6,1737033356,2024-12-01,Tabasco,2024-12-01,NA,December 2024
Mexico,Tamaulipas,December,2024,17,10,1,6,8,5,0,3,1737033356,2024-12-01,Tamaulipas,2024-12-01,NA,December 2024
Mexico,Tlaxcala,December,2024,0,0,0,0,0,0,0,0,1737033356,2024-12-01,Tlaxcala,2024-12-01,NA,December 2024
Mexico,Veracruz de Ignacio de la Llave,December,2024,25,2,0,23,18,3,0,15,1737033356,2024-12-01,Veracruz,2024-12-01,NA,December 2024
Mexico,Yucatan,December,2024,0,0,0,0,0,0,0,0,1737033356,2024-12-01,Yucatan,2024-12-01,NA,December 2024
Mexico,Zacatecas,December,2024,10,3,0,7,12,3,0,9,1737033356,2024-12-01,Zacatecas,2024-12-01,NA,December 2024
Mexico,Aguascalientes,January,2025,0,0,0,0,5,1,0,4,1738854859,2025-01-01,Aguascalientes,2025-01-01,NA,January 2025
Mexico,Baja California,January,2025,44,5,0,39,35,5,0,30,1738854859,2025-01-01,Baja California,2025-01-01,NA,January 2025
Mexico,Baja California Sur,January,2025,2,0,0,2,1,1,0,0,1738854859,2025-01-01,Baja California Sur,2025-01-01,NA,January 2025
Mexico,Campeche,January,2025,5,1,0,4,2,0,0,2,1738854859,2025-01-01,Campeche,2025-01-01,NA,January 2025
Mexico,Chiapas,January,2025,13,6,0,7,10,4,0,6,1738854859,2025-01-01,Chiapas,2025-01-01,NA,January 2025
Mexico,Chihuahua,January,2025,21,5,1,15,27,5,0,22,1738854859,2025-01-01,Chihuahua,2025-01-01,NA,January 2025
Mexico,Ciudad de Mexico,January,2025,12,2,0,10,17,1,0,16,1738854859,2025-01-01,Ciudad De Mexico,2025-01-01,NA,January 2025
Mexico,Coahuila de Zaragoza,January,2025,2,0,0,2,1,0,0,1,1738854859,2025-01-01,Coahuila,2025-01-01,NA,January 2025
Mexico,Colima,January,2025,16,1,0,15,11,1,0,10,1738854859,2025-01-01,Colima,2025-01-01,NA,January 2025
Mexico,Durango,January,2025,1,0,0,1,0,0,0,0,1738854859,2025-01-01,Durango,2025-01-01,NA,January 2025
Mexico,Guanajuato,January,2025,55,11,1,43,65,9,0,56,1738854859,2025-01-01,Guanajuato,2025-01-01,NA,January 2025
Mexico,Guerrero,January,2025,22,6,1,15,29,2,0,27,1738854859,2025-01-01,Guerrero,2025-01-01,NA,January 2025
Mexico,Hidalgo,January,2025,5,1,0,4,10,2,0,8,1738854859,2025-01-01,Hidalgo,2025-01-01,NA,January 2025
Mexico,Jalisco,January,2025,27,4,0,23,23,2,0,21,1738854859,2025-01-01,Jalisco,2025-01-01,NA,January 2025
Mexico,Mexico,January,2025,14,3,0,11,25,4,0,21,1738854859,2025-01-01,Mexico,2025-01-01,NA,January 2025
Mexico,Michoacan de Ocampo,January,2025,51,19,3,29,68,30,8,30,1738854859,2025-01-01,Michoacan,2025-01-01,NA,January 2025
Mexico,Morelos,January,2025,25,4,0,21,24,0,0,24,1738854859,2025-01-01,Morelos,2025-01-01,NA,January 2025
Mexico,Nayarit,January,2025,0,0,0,0,2,0,0,2,1738854859,2025-01-01,Nayarit,2025-01-01,NA,January 2025
Mexico,Nuevo Leon,January,2025,46,6,0,40,59,13,0,46,1738854859,2025-01-01,Nuevo Leon,2025-01-01,NA,January 2025
