adm1_join,casts,min_lead,max_lead,forecast_date
Aguascalientes,2,NA,NA,2024-11-01
Baja California,29,NA,NA,2024-11-01
Baja California Sur,1,NA,NA,2024-11-01
Campeche,7,NA,NA,2024-11-01
Chiapas,16,NA,NA,2024-11-01
Chihuahua,20,NA,NA,2024-11-01
Ciudad De Mexico,19,NA,NA,2024-11-01
Coahuila,1,NA,NA,2024-11-01
Colima,19,NA,NA,2024-11-01
Durango,1,NA,NA,2024-11-01
Guanajuato,66,NA,NA,2024-11-01
Guerrero,42,NA,NA,2024-11-01
Hidalgo,9,NA,NA,2024-11-01
Jalisco,21,NA,NA,2024-11-01
Mexico,20,NA,NA,2024-11-01
Michoacan,38,NA,NA,2024-11-01
Morelos,33,NA,NA,2024-11-01
Nayarit,1,NA,NA,2024-11-01
Nuevo Leon,61,NA,NA,2024-11-01
Oaxaca,14,NA,NA,2024-11-01
Puebla,20,NA,NA,2024-11-01
Queretaro,2,NA,NA,2024-11-01
Quintana Roo,4,NA,NA,2024-11-01
San Luis Potosi,9,NA,NA,2024-11-01
Sinaloa,127,NA,NA,2024-11-01
Sonora,17,NA,NA,2024-11-01
Tabasco,33,NA,NA,2024-11-01
Tamaulipas,9,NA,NA,2024-11-01
Tlaxcala,2,NA,NA,2024-11-01
Veracruz,24,NA,NA,2024-11-01
Yucatan,0,NA,NA,2024-11-01
Zacatecas,11,NA,NA,2024-11-01
Aguascalientes,0,NA,NA,2024-12-01
Baja California,40,NA,NA,2024-12-01
Baja California Sur,1,NA,NA,2024-12-01
Campeche,8,NA,NA,2024-12-01
Chiapas,11,NA,NA,2024-12-01
Chihuahua,16,NA,NA,2024-12-01
Ciudad De Mexico,20,NA,NA,2024-12-01
Coahuila,2,NA,NA,2024-12-01
Colima,21,NA,NA,2024-12-01
Durango,5,NA,NA,2024-12-01
Guanajuato,57,NA,NA,2024-12-01
Guerrero,34,NA,NA,2024-12-01
Hidalgo,6,NA,NA,2024-12-01
Jalisco,28,NA,NA,2024-12-01
Mexico,22,NA,NA,2024-12-01
Michoacan,53,NA,NA,2024-12-01
Morelos,19,NA,NA,2024-12-01
Nayarit,2,NA,NA,2024-12-01
Nuevo Leon,38,NA,NA,2024-12-01
Oaxaca,14,NA,NA,2024-12-01
Puebla,24,NA,NA,2024-12-01
Queretaro,2,NA,NA,2024-12-01
Quintana Roo,3,NA,NA,2024-12-01
San Luis Potosi,5,NA,NA,2024-12-01
Sinaloa,136,NA,NA,2024-12-01
Sonora,9,NA,NA,2024-12-01
Tabasco,18,NA,NA,2024-12-01
Tamaulipas,17,NA,NA,2024-12-01
Tlaxcala,0,NA,NA,2024-12-01
Veracruz,25,NA,NA,2024-12-01
Yucatan,0,NA,NA,2024-12-01
Zacatecas,10,NA,NA,2024-12-01
Aguascalientes,0,NA,NA,2025-01-01
Baja California,44,NA,NA,2025-01-01
Baja California Sur,2,NA,NA,2025-01-01
Campeche,5,NA,NA,2025-01-01
Chiapas,13,NA,NA,2025-01-01
Chihuahua,21,NA,NA,2025-01-01
Ciudad De Mexico,12,NA,NA,2025-01-01
Coahuila,2,NA,NA,2025-01-01
