snapshot_date,data_as_of,events_30d,events_90d,events_prev30
2025-08-15,2025-08-15,665,2030,696
2025-08-16,2025-08-16,669,2026,678
2025-08-17,2025-08-17,643,2012,697
2025-08-18,2025-08-18,644,2021,693
2025-08-19,2025-08-19,645,2024,695
2025-08-20,2025-08-20,631,2016,702
2025-08-21,2025-08-21,637,2017,695
2025-08-22,2025-08-22,631,2021,697
2025-08-23,2025-08-23,630,2031,702
2025-08-24,2025-08-24,621,2027,702
2025-08-25,2025-08-25,623,2029,695
2025-08-26,2025-08-26,630,2027,690
2025-08-27,2025-08-27,624,2023,678
2025-08-28,2025-08-28,615,2022,681
2025-08-29,2025-08-29,626,2023,669
2025-08-30,2025-08-30,609,2016,684
2025-08-31,2025-08-31,600,2009,683
2025-09-01,2025-09-01,595,1996,677
2025-09-02,2025-09-02,598,1981,666
2025-09-03,2025-09-03,590,1982,671
2025-09-04,2025-09-04,589,1966,674
2025-09-05,2025-09-05,580,1957,675
2025-09-06,2025-09-06,575,1944,668
2025-09-07,2025-09-07,566,1934,670
2025-09-08,2025-09-08,565,1934,666
2025-09-09,2025-09-09,557,1930,668
2025-09-10,2025-09-10,557,1933,664
2025-09-11,2025-09-11,561,1927,656
2025-09-12,2025-09-12,567,1943,660
2025-09-13,2025-09-13,569,1942,665
2025-09-14,2025-09-14,573,1934,665
2025-09-15,2025-09-15,584,1931,669
2025-09-16,2025-09-16,596,1936,643
2025-09-17,2025-09-17,594,1931,644
2025-09-18,2025-09-18,599,1939,645
2025-09-19,2025-09-19,606,1939,631
2025-09-20,2025-09-20,610,1942,637
2025-09-21,2025-09-21,602,1930,631
2025-09-22,2025-09-22,601,1933,630
2025-09-23,2025-09-23,613,1936,621
2025-09-24,2025-09-24,601,1919,623
2025-09-25,2025-09-25,599,1919,630
2025-09-26,2025-09-26,601,1903,624
2025-09-27,2025-09-27,599,1895,615
2025-09-28,2025-09-28,595,1890,626
2025-09-29,2025-09-29,592,1885,609
2025-09-30,2025-09-30,593,1876,600
2025-10-01,2025-10-01,603,1875,595
2025-10-02,2025-10-02,613,1877,598
2025-10-03,2025-10-03,620,1881,590
2025-10-04,2025-10-04,626,1889,589
2025-10-05,2025-10-05,628,1883,580
2025-10-06,2025-10-06,640,1883,575
2025-10-07,2025-10-07,644,1880,566
2025-10-08,2025-10-08,652,1883,565
2025-10-09,2025-10-09,654,1879,557
2025-10-10,2025-10-10,646,1867,557
2025-10-11,2025-10-11,649,1866,561
2025-10-12,2025-10-12,645,1872,567
2025-10-13,2025-10-13,645,1879,569
2025-10-14,2025-10-14,641,1879,573
2025-10-15,2025-10-15,631,1884,584
2025-10-16,2025-10-16,626,1865,596
2025-10-17,2025-10-17,621,1859,594
2025-10-18,2025-10-18,606,1850,599
2025-10-19,2025-10-19,599,1836,606
2025-10-20,2025-10-20,585,1832,610
2025-10-21,2025-10-21,598,1831,602
2025-10-22,2025-10-22,598,1829,601
2025-10-23,2025-10-23,592,1826,613
2025-10-24,2025-10-24,597,1821,601
2025-10-25,2025-10-25,592,1821,599
2025-10-26,2025-10-26,587,1812,601
2025-10-27,2025-10-27,584,1798,599
2025-10-28,2025-10-28,584,1805,595
2025-10-29,2025-10-29,583,1784,592
2025-10-30,2025-10-30,582,1775,593
2025-10-31,2025-10-31,580,1778,603
2025-11-01,2025-11-01,572,1783,613
2025-11-02,2025-11-02,569,1779,620
2025-11-03,2025-11-03,562,1777,626
2025-11-04,2025-11-04,563,1771,628
2025-11-05,2025-11-05,552,1767,640
2025-11-06,2025-11-06,557,1767,644
2025-11-07,2025-11-07,545,1762,652
2025-11-08,2025-11-08,522,1733,654
2025-11-09,2025-11-09,508,1711,646
2025-11-10,2025-11-10,485,1695,649
2025-11-11,2025-11-11,462,1674,645
2025-11-12,2025-11-12,444,1681,666
