event_id_cnty,event_date,event_type,adm2_code,latitude,longitude
MEX87298,2024-05-17,Violence against civilians,MX28022,25.8799,-97.5048
MEX87311,2024-05-14,Battles,MX06007,19.0532,-104.3164
MEX87312,2024-05-14,Battles,MX28022,25.8799,-97.5048
MEX87325,2024-05-13,Battles,MX07030,15.7625,-92.4501
MEX87329,2024-05-12,Violence against civilians,MX02004,32.5325,-117.019
MEX87342,2024-05-12,Violence against civilians,MX20005,16.5038,-95.057
MEX87344,2024-05-12,Violence against civilians,MX14097,20.4736,-103.4431
MEX87345,2024-05-13,Violence against civilians,MX19018,25.8005,-100.5855
MEX87352,2024-05-14,Violence against civilians,MX07116,16.3323,-90.7653
MEX87356,2024-05-14,Violence against civilians,MX19031,25.6513,-100.106
MEX87357,2024-05-15,Violence against civilians,MX19031,25.6513,-100.106
MEX87359,2024-05-15,Violence against civilians,MX02004,32.5325,-117.019
MEX87361,2024-05-16,Violence against civilians,MX16053,19.7034,-101.192
MEX87362,2024-05-16,Violence against civilians,MX19025,25.897,-100.1082
MEX87369,2024-05-16,Violence against civilians,MX19012,25.9521,-100.1681
MEX87371,2024-05-16,Violence against civilians,MX09003,19.3502,-99.1621
MEX87387,2024-05-13,Violence against civilians,MX23004,18.5001,-88.2948
MEX87409,2024-05-12,Violence against civilians,MX20570,16.8667,-96.7856
MEX87416,2024-05-12,Violence against civilians,MX02004,32.5325,-117.019
MEX87422,2024-05-12,Battles,MX16043,19.9563,-102.306
MEX87423,2024-05-12,Battles,MX07026,16.8943,-92.6261
MEX87424,2024-05-13,Battles,MX26018,27.4965,-109.9327
MEX87436,2024-05-14,Violence against civilians,MX09007,19.359,-99.0926
MEX87443,2024-05-13,Violence against civilians,MX07073,17.2005,-93.0112
MEX87444,2024-05-15,Battles,MX06009,19.0198,-103.8301
MEX87448,2024-05-13,Violence against civilians,MX10039,24.8877,-105.0889
MEX87480,2024-05-13,Violence against civilians,MX02004,32.5325,-117.019
MEX87481,2024-05-17,Battles,MX19025,25.897,-100.1082
MEX87482,2024-05-13,Violence against civilians,MX26018,27.4965,-109.9327
MEX87486,2024-05-14,Violence against civilians,MX14070,20.5194,-103.1817
MEX87494,2024-05-16,Violence against civilians,MX07061,16.7596,-93.3739
MEX87495,2024-05-14,Violence against civilians,MX14070,20.5194,-103.1817
MEX87496,2024-05-14,Violence against civilians,MX02004,32.5325,-117.019
MEX87505,2024-05-15,Battles,MX02004,32.5325,-117.019
MEX87506,2024-05-14,Violence against civilians,MX02004,32.5325,-117.019
MEX87514,2024-05-16,Violence against civilians,MX32017,22.7468,-102.5188
MEX87404,2024-05-12,Violence against civilians,MX30117,18.6739,-96.7076
MEX87407,2024-05-12,Violence against civilians,MX20021,18.6018,-96.6824
MEX87419,2024-05-12,Violence against civilians,MX07004,16.6174,-91.9909
MEX87518,2024-05-15,Violence against civilians,MX01009,22.2235,-102.1713
MEX87520,2024-05-17,Battles,MX02002,32.6412,-115.476
MEX87523,2024-05-16,Violence against civilians,MX02005,32.3637,-117.0545
MEX87525,2024-05-23,Violence against civilians,MX02003,32.5727,-116.6266
MEX87526,2024-05-15,Violence against civilians,MX02004,32.5325,-117.019
